IdClase,NombreClase,Descripcion,Cupo,Nivel
1,Clase nun,Amplitudo terreo et doloribus curvo ciminatio triumphus dolores.,20,Avanzado
2,Clase excess,Sol cibus sumptus adsidue contigo cernuus civitas.,15,Intermedio
3,Clase impostor,Reiciendis vulgo celo deludo ratione cervus abutor claudeo vulgo.,21,Intermedio
4,Clase procurement,Tantillus cohibeo utroque terreo blandior.,15,Avanzado
5,Clase piglet,Circumvenio sperno cervus aspernatur vulnus mollitia vociferor deporto.,15,Básico
6,Clase singing,Supellex curo credo amissio tres veniam earum defero.,13,Básico
7,Clase range,Cauda bos accommodo crebro aeternus tam celo.,13,Básico
8,Clase marketplace,Tricesimus convoco aspicio nobis deripio aeternus.,7,Avanzado
9,Clase onset,Tabernus amissio repellendus.,5,Básico
10,Clase request,Suppono ventus nisi animadverto peccatus.,8,Avanzado
11,Clase whale,Capillus suscipio amo cena addo callide amiculum degenero amaritudo depopulo.,18,Básico
12,Clase fedora,Tabernus clementia tabernus natus sopor minima totam thesaurus suppono.,30,Intermedio
13,Clase packaging,Sufficio suadeo cenaculum laborum venio veritas sunt.,18,Avanzado
14,Clase annual,Censura capillus alias.,17,Básico
15,Clase contrail,Arceo aperte sum venustas patior triduana viduo summopere conitor.,11,Básico
16,Clase feather,Ceno suscipio tyrannus aureus vitiosus curo vinitor tres.,10,Intermedio
17,Clase petal,Distinctio confero tui sit toties dens articulus degusto adaugeo.,16,Intermedio
18,Clase concentration,Taceo patrocinor sortitus blandior non verbera.,21,Avanzado
19,Clase tributary,Spoliatio cur amita desolo amo cruentus provident crux comitatus.,23,Avanzado
20,Clase morning,Convoco depraedor ventosus defero somnus dolorum tracto.,13,Básico
21,Clase CD,Sit claustrum talus degenero sustineo spectaculum cicuta.,25,Intermedio
22,Clase tenant,Adfectus animadverto caterva voro caveo aveho creptio cubicularis.,16,Intermedio
23,Clase settler,Quam aegrus cunctatio.,26,Avanzado
24,Clase cheetah,Adhuc celebrer tersus damnatio deputo comis.,28,Básico
25,Clase toothbrush,Vulgaris crinis bestia tardus praesentium.,10,Avanzado
26,Clase statue,Sum tonsor amaritudo vacuus virga dicta abeo vorago causa.,25,Intermedio
27,Clase battle,Tonsor aperio architecto sequi.,25,Básico
28,Clase character,Aedificium ciminatio terminatio.,12,Intermedio
